"COMMONPOPNAME2","minYR","maxYR","Geomean_5yr","Recovery.goal","Geomean_5yr_prop_goal","abovegoal","Percent.change.per.year","ESU_DPS2"
"Strait of Juan de Fuca Tributaries - winter Steelhead",NA,NA,NA,3300,NA,NA,NA,"Puget Sound Steelhead DPS"
"Tolt River - summer Steelhead",2015,2019,43.7282639152825,1200,0.0364402199294021,0,-1.35820857223025,"Puget Sound Steelhead DPS"
"West Hood Canal Tributaries - winter Steelhead",NA,NA,NA,8400,NA,NA,NA,"Puget Sound Steelhead DPS"
"White River - winter Steelhead",2015,2019,499.534994652223,12000,0.0416279162210186,0,-0.300586872092756,"Puget Sound Steelhead DPS"
"Asotin Creek - summer Steelhead",2015,2019,542.327859870781,500,1.08465571974156,1,-11.4344598065559,"Snake River Basin Steelhead DPS"
"Joseph Creek - summer Steelhead",2015,2019,1895.06438169692,1000,1.89506438169692,1,-2.30859418019077,"Snake River Basin Steelhead DPS"
"Tucannon River - summer Steelhead",2015,2019,436.622054463119,1000,0.436622054463119,0,-8.14118771035738,"Snake River Basin Steelhead DPS"
"Entiat River - summer Steelhead",2015,2019,54.3812325634526,500,0.108762465126905,0,1.08710516003525,"Upper Columbia River Steelhead DPS"
"Methow River - summer Steelhead",2015,2019,587.062903109911,1000,0.587062903109911,0,2.10796150201011,"Upper Columbia River Steelhead DPS"
"Okanogan River - summer Steelhead",2015,2019,193.389982531035,500,0.386779965062069,0,3.01689755790926,"Upper Columbia River Steelhead DPS"
"Wenatchee River - summer Steelhead",2015,2019,374.094898068864,1000,0.374094898068864,0,1.69755717127169,"Upper Columbia River Steelhead DPS"
