"Stock Number","Population Name","Year","Abundance Quantity","Production Type","Calculation Type","Report Types"
1048,"Lower Sauk River - summer Chinook salmon",2002,910,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2003,1493,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2004,443,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2005,875,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2006,1095,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2007,383,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2008,538,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2009,250,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2010,356,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2011,210,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2012,715,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2013,530,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2014,364,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2015,406,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2016,1044,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2017,1001,"Natural","Expanded","SCoRE,SOS"
1048,"Lower Sauk River - summer Chinook salmon",2018,378,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",1999,1043,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2000,3262,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2001,2606,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2002,4866,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2003,1161,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2004,3070,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2005,3320,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2006,3508,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2007,1053,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2008,2685,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2009,1439,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2010,1017,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2011,820,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2012,3295,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2013,1551,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2014,1785,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2015,2203,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2016,2840,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2017,3786,"Natural","Expanded","SCoRE,SOS"
1040,"Lower Skagit River - fall Chinook salmon",2018,1923,"Natural","Expanded","SCoRE,SOS"
1236,"Mid-Hood Canal - fall Chinook salmon",NA,NA,"Natural",NA,"SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2004,269,"Natural","Expanded","SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2005,936,"Natural","Expanded","SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2006,222,"Natural","Expanded","SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2007,741,"Natural","Expanded","SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2008,1368,"Natural","Expanded","SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2009,185,"Natural","Expanded","SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2010,481,"Natural","Expanded","SCoRE,SOS"
1200,"Nisqually River - fall Chinook salmon",2011,302,"Natural","Expanded","SCoRE,SOS"
